"Date","Price","Open","High","Low","Vol.","Change %"
"1999-12-02","1.4820","1.4737","1.4827","1.4730","","0.60%"
"1999-12-01","1.4732","1.4741","1.4755","1.4725","","-0.06%"
"1999-11-30","1.4741","1.4742","1.4763","1.4701","","0.03%"
"1999-11-29","1.4737","1.4676","1.4766","1.4674","","0.35%"
"1999-11-26","1.4686","1.4665","1.4697","1.4649","","0.13%"
"1999-11-25","1.4667","1.4665","1.4688","1.4646","","0.01%"
"1999-11-24","1.4666","1.4662","1.4703","1.4640","","-0.01%"
"1999-11-23","1.4668","1.4615","1.4673","1.4613","","0.36%"
"1999-11-22","1.4616","1.4623","1.4637","1.4599","","-0.01%"
"1999-11-19","1.4617","1.4651","1.4668","1.4599","","-0.23%"
"1999-11-18","1.4651","1.4696","1.4705","1.4629","","-0.30%"
"1999-11-17","1.4695","1.4627","1.4717","1.4627","","0.49%"
"1999-11-16","1.4623","1.4652","1.4697","1.4614","","-0.22%"
"1999-11-15","1.4655","1.4632","1.4657","1.4611","","0.19%"
"1999-11-12","1.4627","1.4659","1.4665","1.4602","","-0.18%"
"1999-11-11","1.4654","1.4682","1.4687","1.4650","","-0.22%"
"1999-11-10","1.4686","1.4745","1.4751","1.4680","","-0.42%"
"1999-11-09","1.4748","1.4714","1.4765","1.4676","","0.21%"
"1999-11-08","1.4717","1.4676","1.4725","1.4655","","0.22%"
"1999-11-05","1.4685","1.4633","1.4697","1.4552","","0.36%"
"1999-11-04","1.4633","1.4680","1.4690","1.4600","","-0.30%"
"1999-11-03","1.4677","1.4702","1.4713","1.4668","","-0.14%"
"1999-11-02","1.4697","1.4660","1.4709","1.4650","","0.25%"
"1999-11-01","1.4660","1.4708","1.4721","1.4655","","-0.30%"
"1999-10-29","1.4704","1.4722","1.4777","1.4699","","-0.16%"
"1999-10-28","1.4728","1.4725","1.4749","1.4691","","0.01%"
"1999-10-27","1.4726","1.4736","1.4747","1.4689","","-0.06%"
"1999-10-26","1.4735","1.4726","1.4749","1.4681","","0.07%"
"1999-10-25","1.4724","1.4770","1.4792","1.4707","","-0.31%"
"1999-10-22","1.4770","1.4822","1.4833","1.4745","","-0.32%"
"1999-10-21","1.4817","1.4870","1.4886","1.4802","","-0.28%"
"1999-10-20","1.4858","1.4896","1.4910","1.4854","","-0.24%"
"1999-10-19","1.4893","1.4940","1.4969","1.4885","","-0.31%"
"1999-10-18","1.4939","1.4874","1.4970","1.4863","","0.40%"
"1999-10-15","1.4880","1.4806","1.4905","1.4791","","0.53%"
"1999-10-14","1.4802","1.4823","1.4834","1.4794","","-0.11%"
"1999-10-13","1.4819","1.4756","1.4844","1.4743","","0.41%"
"1999-10-12","1.4758","1.4729","1.4766","1.4709","","0.20%"
"1999-10-11","1.4728","1.4716","1.4737","1.4702","","0.14%"
"1999-10-08","1.4708","1.4706","1.4745","1.4673","","-0.03%"
"1999-10-07","1.4713","1.4685","1.4727","1.4667","","0.20%"
"1999-10-06","1.4683","1.4718","1.4721","1.4655","","-0.26%"
"1999-10-05","1.4722","1.4686","1.4724","1.4632","","0.23%"
"1999-10-04","1.4688","1.4753","1.4769","1.4683","","-0.39%"
"1999-10-01","1.4745","1.4669","1.4788","1.4617","","0.50%"
"1999-09-30","1.4672","1.4658","1.4715","1.4645","","0.05%"
"1999-09-29","1.4664","1.4621","1.4665","1.4598","","0.32%"
"1999-09-28","1.4617","1.4688","1.4691","1.4607","","-0.45%"
"1999-09-27","1.4683","1.4725","1.4726","1.4677","","-0.22%"
"1999-09-24","1.4715","1.4730","1.4775","1.4715","","-0.14%"
"1999-09-23","1.4735","1.4715","1.4758","1.4685","","0.16%"
"1999-09-22","1.4712","1.4764","1.4773","1.4667","","-0.34%"
"1999-09-21","1.4762","1.4783","1.4785","1.4688","","-0.16%"
"1999-09-20","1.4785","1.4718","1.4807","1.4710","","0.48%"
"1999-09-17","1.4714","1.4748","1.4759","1.4685","","-0.23%"
"1999-09-16","1.4748","1.4758","1.4797","1.4741","","-0.08%"
"1999-09-15","1.4760","1.4737","1.4780","1.4701","","0.16%"
"1999-09-14","1.4737","1.4691","1.4752","1.4676","","0.31%"
"1999-09-13","1.4692","1.4758","1.4780","1.4682","","-0.37%"
"1999-09-10","1.4746","1.4780","1.4830","1.4721","","-0.20%"
"1999-09-09","1.4775","1.4877","1.4887","1.4773","","-0.67%"
"1999-09-08","1.4875","1.4896","1.4921","1.4863","","-0.12%"
"1999-09-07","1.4893","1.4899","1.4943","1.4870","","-0.04%"
"1999-09-06","1.4899","1.4911","1.4922","1.4888","","-0.05%"
"1999-09-03","1.4906","1.4960","1.4993","1.4870","","-0.35%"
"1999-09-02","1.4958","1.4884","1.4968","1.4853","","0.50%"
"1999-09-01","1.4884","1.4922","1.4949","1.4838","","-0.24%"
"1999-08-31","1.4920","1.4941","1.4975","1.4867","","-0.11%"
"1999-08-30","1.4937","1.4888","1.4949","1.4863","","0.32%"
"1999-08-27","1.4890","1.4983","1.5013","1.4883","","-0.77%"
"1999-08-26","1.5005","1.4954","1.5045","1.4950","","0.33%"
"1999-08-25","1.4955","1.4909","1.4979","1.4907","","0.34%"
"1999-08-24","1.4905","1.4975","1.4994","1.4882","","-0.47%"
"1999-08-23","1.4975","1.4960","1.4992","1.4934","","0.10%"
"1999-08-20","1.4960","1.4947","1.4981","1.4921","","0.11%"
"1999-08-19","1.4943","1.4832","1.4951","1.4830","","0.74%"
"1999-08-18","1.4833","1.4775","1.4862","1.4775","","0.42%"
"1999-08-17","1.4771","1.4832","1.4840","1.4758","","-0.42%"
"1999-08-16","1.4834","1.4777","1.4840","1.4764","","0.38%"
"1999-08-13","1.4778","1.4857","1.4865","1.4756","","-0.48%"
"1999-08-12","1.4849","1.4858","1.4886","1.4817","","-0.05%"
"1999-08-11","1.4857","1.4969","1.4978","1.4857","","-0.77%"
"1999-08-10","1.4973","1.5017","1.5029","1.4968","","-0.31%"
"1999-08-09","1.5019","1.5036","1.5048","1.4968","","-0.11%"
"1999-08-06","1.5036","1.5000","1.5053","1.4955","","0.38%"
"1999-08-05","1.4979","1.4907","1.4983","1.4888","","0.51%"
"1999-08-04","1.4903","1.4929","1.4979","1.4884","","-0.17%"
"1999-08-03","1.4929","1.5043","1.5065","1.4919","","-0.76%"
"1999-08-02","1.5044","1.5061","1.5128","1.5027","","-0.17%"
"1999-07-30","1.5070","1.5055","1.5079","1.4985","","0.07%"
"1999-07-29","1.5059","1.5075","1.5135","1.5045","","-0.13%"
"1999-07-28","1.5078","1.5124","1.5151","1.5048","","-0.35%"
"1999-07-27","1.5131","1.5107","1.5152","1.5067","","0.15%"
"1999-07-26","1.5109","1.5069","1.5174","1.5024","","0.28%"
"1999-07-23","1.5067","1.5075","1.5090","1.5035","","-0.01%"
"1999-07-22","1.5069","1.4989","1.5122","1.4983","","0.51%"
"1999-07-21","1.4992","1.4917","1.5037","1.4905","","0.51%"
"1999-07-20","1.4916","1.4903","1.4950","1.4890","","0.07%"
"1999-07-19","1.4905","1.4829","1.4953","1.4820","","0.49%"
"1999-07-16","1.4833","1.4819","1.4846","1.4809","","0.07%"
"1999-07-15","1.4823","1.4809","1.4832","1.4787","","0.09%"
"1999-07-14","1.4810","1.4805","1.4853","1.4792","","0.05%"
"1999-07-13","1.4802","1.4789","1.4843","1.4780","","0.09%"
"1999-07-12","1.4788","1.4725","1.4821","1.4708","","0.50%"
"1999-07-09","1.4715","1.4707","1.4736","1.4683","","0.01%"
"1999-07-08","1.4714","1.4691","1.4739","1.4667","","0.14%"
"1999-07-07","1.4693","1.4703","1.4720","1.4680","","-0.12%"
"1999-07-06","1.4710","1.4682","1.4719","1.4626","","0.16%"
